År,Månad,Län,Aktiebolag,Bankaktiebolag,Bankfilial,Bostadsförening,Bostadsrättsförening,Ekonomisk förening,Enskild näringsidkare,Europabolag,Europakooperativ,Europeiska grupperingar för territoriellt samarbete,Filial,Försäkringsaktiebolag,Försäkringsförening,Handelsbolag,Ideella föreningar som bedriver näringsverksamhet,Kommanditbolag,Kooperativ hyresrättsförening,Medlemsbank,Sambruksförening,Sparbank,Stiftelse som bedriver näringsverksamhet,Tjänstepensionsaktiebolag,Tjänstepensionsförening,Trossamfund som bedriver näringsverksamhet,Ömsesidigt försäkringsbolag,Ömsesidigt tjänstepensionsbolag
2020,1,20,128,0,0,0,7,0,28,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2020,2,20,99,0,0,0,1,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,20,120,0,0,0,1,0,43,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,20,84,0,0,0,0,3,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020,5,20,79,0,0,0,12,1,28,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2020,6,20,93,0,0,0,1,3,34,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,20,62,0,0,0,0,0,6,0,0,0,2,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0
2020,8,20,76,0,0,0,1,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020,9,20,119,0,0,0,13,0,42,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020,10,20,108,0,0,0,3,0,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2020,11,20,121,0,0,0,6,2,30,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
2020,12,20,125,0,0,0,6,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,20,121,0,0,0,22,11,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,2,20,117,0,0,0,3,1,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021,3,20,126,0,0,0,15,0,36,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
2021,4,20,117,0,0,0,18,13,26,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0
2021,5,20,116,0,0,0,8,8,28,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
2021,6,20,105,0,0,0,7,2,20,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2021,7,20,40,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,20,75,0,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,20,149,0,0,0,21,1,51,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0
2021,10,20,107,0,0,0,10,1,35,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0
2021,11,20,119,0,0,0,1,18,21,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2021,12,20,144,0,0,0,1,1,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
